시도,주소,전화번호,팩스
중앙,서울특별시 영등포구 여의도동 국회대로 76가길 14 4층(한국가정법률상담소),02)3667-1389,02)2634-5023
서울남부,서울특별시 서초구 남부순환로 2124,02)3472-1389,02)523-1043
서울북부,서울특별시 강북구 노해로 69 대성빌딩 2층(수유3동),02)921-1389,02)921-1391
서울서부,서울특별시 은평구 역말로10길 30-1,02)3157-6389,02)3157-6385
서울동부,서울시 강동구 천호동 333-38번지 삼화빌딩 3층,02)470-1389,02)470-1385
부산동부,부산광역시 동구 중앙대로 338 연합뉴스빌딩 5층,051)468-8850,051)468-8851
부산서부,"부산광역시 연제구 연제로 8번길 46, 제이에스빌 5층",051)867-9119,051)865-0446
대구남부,"대구광역시 남구 이천로 128, 3층",053)472-1389,053)476-1081
대구북부,대구광역시 서구 달서로 284,053)357-1389,053)354-1389
인천,인천광역시 남동구 용천로 208 인천시사회복지관 204호,032)426-8792~4,032)426-8794
인천서부,"인천광역시 서구 완정로 165번안길 12, 2층(왕길동)",032)569-0533,032)569-5383
광주,광주광역시 남구 덕남길 7 빛고을노인건강타운체육관 1층,062)655-4155~7,062)655-4158
대전,대전광역시 서구 문정로 170번길 103,042)472-1389,042)472-1392
울산,"울산광역시 중구 다운로 121, 3층",052)265-1389,052)257-1889
경기도,"경기도 수원시 팔달구 인계로 101번길 1, 노인회관 4층",031)268-1389,031)601-9332
경기동부,"경기도 성남시 분당구 구미로11, 505호",031)736-1389,031)735-3795
경기북부,"경기도 의정부시 용민로 104, 5층",031)821-1461,031)821-2246
경기서부,경기도 부천시 부일로 501 양촌빌딩 4층,032)683-1389,032)683-1388
경기북서부,"경기도 고양시 덕양구 중앙로 559 그랑프리프라자, 406호",031)978-1389,031)965-5610
강원도,강원도 춘천시 동면 소양강로 110번지 2층,033)253-1389,033)242-1389
강원동부,"강원도 강릉시 율곡로 2954, 3층",033)655-1389,033)645-1389
강원남부,강원도 원주시 중앙로 170 새한빌딩 2층,033)744-1389,033)762-0001
충북,충청북도 청주시 흥덕구 1순환로 438번길 39-17(충북재활의원 3층),043)259-8120~2,043)259-8127
충북북부,충청북도 충주시 예성로 76,043)846-1380~2,043)846-1389
충남,충청남도 아산시 번영로206번길 42,041)534-1389,041)534-9224
충남남부,충청남도 논산시 시민로 210번길 9-9 2층,041)734-1389,041)735-1489
전북,전라북도 전주시 덕진구 팔달로 357-23,063)273-1389,063)273-1287
전북서부,전북 김제시 하동1길 79 별관 노후설계종합지원센터 1층,063)542-1389,070)4032-4866
전남동부,전라남도 순천시 저전길 84,061)753-1389,061)742-3079
전남서부,"전라남도 무안군 삼향읍 오룡5길 10, 전라남도노인회관 4층",061)281-2391,061)281-2392
경북동부,경상북도 포항시 북구 삼흥로 411 기쁨의 복지관B102,054)248-1389,054)232-5677
경북북부,경상북도 예천군 예천읍 충효로 424-21,054)655-1389,054)655-1391
경북서부,경북 김천시 아포읍 아포대로 981-8,054)436-1390,054)436-1289
경북남부,경상북도 경산시 진량읍 대구대로 218 3층,053)716-1389,053)716-1388
경남,"경상남도 창원시 마산합포구 문화북4길 15(금강노인종합복지관, C동 1층)",055)222-1389,055)221-8449
경남서부,경상남도 진주시 문산읍 월아산로 1098 2층,055)754-1389,055)754-1390
제주,제주특별자치도 제주시 관덕로7길 3,064)757-3400,064)757-1389
제주서귀포시,제주특별자치도 서귀포시 서호남로 29 2층,064)763-1999,064)763-1995
