국가별,2020,2025,2030,2035,2040,2045,2050,2055,2060
대한민국,82.8,83.5,84.2,84.8,85.5,86.1,86.7,87.3,87.9
이스라엘,82.7,83.5,84.2,84.8,85.4,86,86.6,87.1,87.7
일본,84.4,85,85.6,86.2,86.8,87.4,87.9,88.5,89.1
튀르키예,77.3,78.5,79.5,80.6,81.6,82.5,83.3,84.1,84.8
캐나다,82.2,83,83.7,84.4,85,85.6,86.2,86.8,87.3
멕시코,75,75.4,76.2,77.5,78.2,79,79.8,80.5,81.3
미국,78.8,79.1,79.8,81,81.7,82.4,83.1,83.8,84.4
칠레,80,80.7,81.6,82.7,83.5,84.2,84.9,85.5,86.1
콜롬비아,77,77.9,78.7,79.6,80.4,81.2,82,82.8,83.5
코스타리카,80,80.9,81.8,82.7,83.5,84.2,84.9,85.5,86.1
오스트리아,81.4,82.1,82.9,83.7,84.3,84.9,85.5,86.1,86.6
벨기에,81.4,82.2,82.9,83.7,84.3,84.9,85.5,86.1,86.7
체코,79.1,79.9,80.6,81.3,82,82.7,83.4,84.1,84.7
덴마크,80.7,81.4,82.1,82.9,83.6,84.2,84.9,85.4,86
에스토니아,78.5,79.2,79.9,80.7,81.4,82.1,82.7,83.3,83.9
핀란드,81.6,82.5,83.2,83.9,84.5,85.1,85.7,86.2,86.8
프랑스,82.5,83.1,83.8,84.5,85.1,85.6,86.2,86.8,87.4
독일,81.1,81.9,82.7,83.4,84.1,84.7,85.3,85.8,86.4
그리스,82,82.8,83.6,84.2,84.8,85.4,86,86.5,87.1
헝가리,76.6,77.3,78,78.7,79.4,80.1,80.8,81.6,82.3
아이슬란드,82.8,83.5,84.2,84.9,85.5,86,86.6,87.1,87.7
아일랜드,82,82.8,83.6,84.3,84.9,85.5,86.1,86.7,87.2
이탈리아,83.3,84,84.6,85.3,85.9,86.4,87,87.6,88.2
라트비아,75.1,75.7,76.4,77.1,77.8,78.5,79.2,80,80.6
리투아니아,75.7,76.4,77.2,78,78.8,79.5,80.3,81,81.6
룩셈부르크,82,82.8,83.6,84.2,84.9,85.5,86,86.6,87.2
네덜란드,82.1,82.8,83.5,84.2,84.8,85.4,86,86.5,87
노르웨이,82.2,82.9,83.7,84.3,84.9,85.5,86.1,86.6,87.1
폴란드,78.5,79.3,80.1,80.9,81.7,82.4,83.1,83.7,84.3
포르투갈,81.8,82.7,83.4,84.1,84.7,85.3,85.9,86.5,87.1
슬로바키아,77.3,78,78.7,79.4,80.2,80.9,81.6,82.3,83
슬로베니아,81.1,81.8,82.6,83.3,84,84.6,85.2,85.8,86.3
스페인,83.4,84,84.6,85.2,85.8,86.4,87,87.6,88.1
스웨덴,82.6,83.3,84.1,84.7,85.3,85.8,86.4,87,87.5
스위스,83.6,84.2,84.9,85.5,86,86.6,87.2,87.8,88.3
영국,81.2,81.8,82.5,83.3,84,84.7,85.3,85.8,86.4
오스트레일리아,83.2,83.9,84.6,85.2,85.8,86.3,86.9,87.5,88.1
뉴질랜드,82.1,82.8,83.5,84.3,84.9,85.5,86,86.6,87.1
